tfidfScore,skillScore,matchedCount,missingCount,experienceYears,programmingScore,backendScore,frontendScore,databaseScore,cloudScore,devopsScore,label
11.236,18.513,27.0,5.0,5.5,87.26,0.49,28.18,62.85,80.5,85.67,0
28.521,54.19,6.0,19.0,5.2,8.71,41.27,72.2,9.5,23.01,59.36,1
21.96,87.295,27.0,2.0,3.7,48.74,10.05,86.19,9.5,25.6,51.8,1
17.96,73.222,13.0,16.0,2.4,69.14,50.92,65.41,72.82,3.2,74.34,1
4.681,80.656,9.0,11.0,0.8,26.18,2.47,51.16,32.41,29.67,81.56,1
4.68,65.878,15.0,0.0,10.6,62.42,40.69,15.89,97.74,58.46,68.61,1
1.743,69.228,15.0,16.0,5.0,82.94,22.07,5.35,3.74,42.08,44.0,1
25.985,84.92,30.0,2.0,6.0,19.03,53.33,44.57,44.51,96.93,37.93,1
18.033,24.967,24.0,25.0,11.0,91.72,99.6,4.93,11.31,5.61,77.17,1
21.242,48.942,12.0,14.0,9.3,55.36,80.05,56.93,35.14,59.14,51.79,1
0.618,22.121,5.0,31.0,1.6,29.92,84.56,38.27,99.82,85.83,70.44,0
29.097,98.767,8.0,31.0,6.8,43.09,63.53,75.72,88.88,48.07,89.04,1
24.973,94.406,19.0,3.0,5.3,31.22,4.16,30.56,4.83,0.3,91.59,1
6.37,3.943,17.0,17.0,9.6,72.51,20.68,59.3,56.33,24.28,27.77,0
5.455,70.558,20.0,18.0,8.7,79.63,92.51,53.77,64.78,32.38,18.79,1
5.502,92.525,3.0,13.0,8.3,83.29,36.61,0.47,20.95,96.6,26.13,1
9.127,18.058,32.0,32.0,4.1,98.58,10.36,7.24,14.51,91.18,75.14,0
15.743,56.795,26.0,13.0,9.7,79.13,70.24,29.04,90.44,94.92,37.01,1
12.958,91.549,6.0,33.0,0.6,60.14,29.95,88.22,96.88,82.58,17.34,1
8.737,3.395,5.0,3.0,1.9,33.92,26.89,14.7,99.19,35.16,9.84,0
18.356,69.742,14.0,23.0,4.0,54.46,99.8,71.09,78.98,90.59,32.73,1
4.185,29.735,17.0,28.0,0.9,4.11,85.81,97.34,66.35,98.17,13.61,0
8.764,92.44,31.0,18.0,2.8,74.48,40.79,79.06,34.57,35.01,15.64,1
10.991,97.106,10.0,5.0,10.0,44.6,98.03,24.29,17.14,26.06,68.39,1
13.682,94.427,19.0,32.0,11.4,2.0,65.01,90.84,7.9,54.69,1.97,1
23.555,47.421,23.0,18.0,3.7,6.25,74.2,9.31,69.33,18.72,11.76,1
5.99,86.204,14.0,0.0,3.2,38.75,3.15,46.81,78.47,3.26,84.44,1
15.427,84.455,6.0,4.0,3.4,58.34,12.16,88.75,82.65,94.58,84.49,1
17.772,31.91,20.0,26.0,3.3,46.42,63.31,64.13,91.38,92.57,32.92,1
1.394,82.892,25.0,15.0,0.4,61.92,89.9,41.36,87.99,16.27,8.8,1
18.226,3.701,13.0,5.0,11.1,48.03,62.37,29.28,99.97,40.77,70.5,0
5.116,59.627,20.0,12.0,2.6,66.17,13.4,37.51,24.41,83.1,36.01,1
1.952,23.001,17.0,18.0,5.0,21.91,11.58,50.89,76.33,66.1,4.55,0
28.467,12.057,4.0,11.0,0.1,11.28,84.42,31.9,58.65,39.48,15.78,0
28.969,7.695,2.0,15.0,10.3,59.64,13.93,96.9,26.12,74.42,13.72,0
24.252,69.629,22.0,9.0,8.8,48.47,52.02,93.31,98.19,89.7,58.91,1
9.138,33.987,25.0,24.0,11.4,2.69,3.71,87.07,89.79,92.62,89.81,1
2.93,72.477,23.0,19.0,9.4,38.05,8.07,42.18,12.85,37.88,79.31,1
20.527,6.536,18.0,30.0,3.8,10.61,67.23,69.13,2.62,17.36,54.65,0
13.205,31.529,24.0,3.0,3.0,53.14,68.92,90.28,68.83,91.28,42.22,1
3.661,53.949,20.0,22.0,8.4,39.58,34.15,85.04,60.41,9.26,61.87,1
14.855,79.072,11.0,1.0,4.4,61.32,21.56,41.43,93.58,72.17,44.38,1
1.032,31.875,32.0,21.0,6.8,80.56,81.37,11.24,23.4,14.05,24.61,0
27.28,62.589,3.0,7.0,0.1,29.97,21.71,7.56,8.44,38.94,67.92,1
7.763,88.598,6.0,6.0,0.7,96.21,54.2,57.71,25.92,41.16,87.32,1
19.876,61.586,21.0,13.0,6.4,53.56,96.82,64.26,1.89,15.88,37.29,1
9.351,23.296,32.0,2.0,6.8,61.83,14.79,84.98,3.59,92.27,84.15,0
15.602,2.44,16.0,15.0,9.0,68.07,94.09,29.25,91.49,0.27,43.11,0
16.401,87.01,23.0,18.0,1.6,66.67,18.29,16.75,35.2,89.38,40.13,1
5.546,2.127,33.0,17.0,6.2,51.1,56.74,37.9,41.08,88.38,2.83,0
29.088,87.47,27.0,15.0,2.3,42.88,37.7,35.36,1.84,31.7,69.53,1
23.254,52.894,21.0,7.0,1.1,5.38,96.49,13.25,27.05,70.43,80.75,1
28.185,93.907,16.0,32.0,4.9,2.21,27.35,67.23,80.47,25.28,66.36,1
26.845,79.878,33.0,11.0,2.0,35.8,39.97,50.87,61.55,75.88,15.14,1
17.937,99.793,5.0,10.0,2.7,33.37,98.29,72.11,75.38,56.11,10.33,1
27.656,35.071,5.0,4.0,3.8,38.77,53.65,35.27,44.72,30.02,57.29,1
2.655,76.719,33.0,26.0,3.1,13.84,50.26,32.57,30.97,40.02,40.15,1
5.879,40.193,0.0,11.0,1.1,73.82,25.78,47.26,48.28,68.99,42.91,0
1.357,47.988,9.0,16.0,1.1,85.7,70.14,87.74,32.31,90.61,96.78,1
9.76,62.751,20.0,5.0,2.3,93.87,1.44,4.03,83.9,13.07,72.39,1
11.66,87.368,4.0,32.0,0.6,49.24,4.95,80.48,29.77,57.14,41.18,1
8.14,98.408,1.0,4.0,7.5,70.09,59.94,36.9,65.98,25.37,1.91,1
24.862,76.827,21.0,27.0,3.4,85.56,34.17,85.46,13.7,80.14,3.41,1
10.703,41.777,1.0,13.0,3.4,41.83,95.33,80.22,68.69,7.02,68.48,1
8.428,42.136,9.0,4.0,4.0,30.94,90.32,34.88,91.33,68.9,83.77,1
16.281,73.758,33.0,32.0,8.0,93.67,71.37,69.39,60.86,17.49,70.77,1
4.228,23.878,15.0,18.0,10.4,51.57,81.81,15.96,55.99,59.64,40.59,0
24.066,11.047,21.0,21.0,9.1,49.73,66.73,89.63,96.11,83.57,3.11,0
2.237,35.462,11.0,4.0,8.7,17.84,12.56,40.45,62.74,75.51,96.74,1
29.607,28.724,23.0,1.0,5.8,10.82,76.55,45.56,25.96,75.29,98.63,1
23.167,29.631,9.0,29.0,8.3,84.21,21.02,70.58,29.24,51.78,54.94,1
5.961,23.361,31.0,3.0,6.6,61.41,32.34,82.08,70.53,89.07,7.07,0
0.166,4.209,6.0,32.0,2.6,32.58,81.92,23.63,73.54,58.81,54.1,0
24.464,1.787,20.0,12.0,2.5,19.17,53.65,66.14,30.35,91.75,89.23,0
21.206,98.772,19.0,19.0,3.6,55.55,85.99,39.2,34.53,54.65,68.0,1
21.87,42.777,25.0,6.0,10.9,58.39,21.3,36.87,99.11,50.6,72.0,1
23.138,38.433,3.0,14.0,6.6,20.7,60.78,69.0,10.2,22.24,8.5,1
2.221,67.965,21.0,22.0,8.8,85.14,8.38,38.72,40.46,54.48,10.65,1
10.754,21.825,14.0,13.0,4.2,8.43,64.31,34.61,6.24,14.06,12.73,0
3.476,94.996,20.0,22.0,4.9,35.61,76.25,83.59,82.11,86.97,90.44,1
25.893,78.635,14.0,18.0,1.5,68.04,58.49,10.13,9.23,67.59,52.58,1
18.699,8.941,21.0,28.0,2.1,27.41,26.62,67.59,67.4,99.36,79.16,0
9.927,41.758,27.0,19.0,9.9,82.77,3.13,24.87,5.65,9.21,11.53,1
1.907,87.912,13.0,28.0,7.0,73.99,11.94,1.55,67.29,24.07,92.76,1
9.329,94.473,26.0,23.0,4.1,78.9,62.23,16.68,84.3,87.72,82.11,1
9.755,46.74,27.0,17.0,9.6,11.91,93.44,60.67,39.88,39.53,22.48,1
21.888,61.341,25.0,9.0,3.0,14.05,20.65,70.91,52.21,46.63,87.42,1
19.127,16.703,1.0,7.0,11.7,28.65,73.5,2.11,40.15,86.07,26.34,0
26.616,99.117,24.0,25.0,4.1,51.81,86.65,3.64,30.05,52.18,20.53,1
14.166,23.167,2.0,28.0,4.0,74.8,52.09,90.25,80.33,19.35,26.42,0
3.588,94.273,7.0,9.0,3.7,83.65,66.93,7.33,27.2,89.2,91.0,1
21.397,64.965,32.0,16.0,1.5,70.43,81.5,89.42,72.29,3.11,91.56,1
22.824,60.774,5.0,1.0,1.3,92.86,26.07,22.82,20.62,89.54,32.9,1
16.838,51.269,22.0,5.0,7.8,73.87,29.69,74.0,24.99,5.05,70.54,1
23.129,23.067,24.0,4.0,10.5,30.63,0.06,30.97,33.65,66.58,67.57,1
14.814,17.653,18.0,27.0,9.5,26.51,96.31,85.88,58.92,7.17,80.66,0
15.682,22.049,4.0,4.0,1.7,69.62,91.75,70.05,45.44,70.62,29.65,0
12.826,18.644,10.0,17.0,6.5,19.29,76.46,40.18,74.51,3.4,51.01,0
0.763,77.958,11.0,25.0,1.3,9.27,7.91,7.63,21.36,84.25,66.77,1
3.237,35.013,9.0,19.0,0.5,53.22,44.75,73.27,1.07,46.59,2.63,0
0.943,5.784,7.0,26.0,7.9,82.16,10.19,61.69,77.66,9.35,37.67,0
19.092,96.91,23.0,11.0,6.4,10.14,1.59,0.29,82.16,70.68,69.59,1
9.431,88.379,27.0,6.0,1.0,79.19,61.62,0.94,5.95,48.93,25.26,1
15.257,92.775,20.0,2.0,0.4,81.16,96.08,80.88,61.09,19.09,95.77,1
27.227,99.491,7.0,9.0,11.9,48.23,90.29,25.94,37.82,1.57,3.02,1
7.479,17.39,8.0,33.0,0.4,5.73,69.68,63.61,79.39,41.8,95.81,0
12.311,39.624,14.0,24.0,5.3,17.46,9.66,45.42,87.44,8.56,21.68,1
22.667,75.824,17.0,15.0,6.1,70.74,27.42,86.34,85.1,9.42,4.88,1
6.864,69.602,19.0,1.0,1.4,71.18,32.01,91.7,77.72,26.73,29.25,1
2.309,15.39,5.0,23.0,2.0,89.84,76.32,99.68,26.91,63.05,78.63,0
8.693,81.583,11.0,9.0,4.2,58.27,80.22,15.37,81.19,52.99,75.24,1
4.837,22.444,1.0,21.0,9.1,12.41,38.51,86.3,53.35,6.9,20.88,0
27.891,22.382,6.0,25.0,6.1,12.14,41.79,26.6,5.28,96.84,19.68,1
24.244,53.697,15.0,26.0,7.7,72.11,4.45,59.08,45.69,88.72,64.26,1
19.002,59.294,2.0,28.0,11.8,18.38,28.91,50.58,94.22,25.92,45.81,1
26.144,58.009,2.0,19.0,9.2,32.84,45.13,1.8,88.79,12.23,79.23,1
24.11,9.149,26.0,26.0,5.2,48.72,11.7,93.28,10.23,94.24,2.41,0
5.597,87.746,32.0,19.0,5.4,2.48,45.33,7.83,74.41,46.11,61.04,1
26.777,26.56,27.0,18.0,7.4,24.88,85.32,68.82,80.58,31.12,73.07,1
16.18,12.951,0.0,19.0,8.0,40.79,58.13,78.5,27.14,49.04,99.34,0
24.223,88.875,7.0,1.0,6.0,27.96,7.89,79.53,47.16,77.27,67.88,1
26.883,95.565,31.0,29.0,7.7,13.64,19.17,13.55,71.1,16.84,23.18,1
9.54,86.213,3.0,33.0,0.3,72.8,47.45,44.76,43.9,76.75,10.82,1
3.302,80.952,29.0,21.0,5.2,81.31,36.15,82.94,11.28,74.94,64.09,1
6.838,65.524,5.0,2.0,3.3,25.75,35.87,30.27,70.59,53.93,52.32,1
12.813,55.086,18.0,5.0,1.6,77.44,52.93,46.77,91.16,86.58,89.91,1
24.54,8.699,31.0,14.0,1.2,38.56,58.44,27.28,65.25,13.21,72.66,0
25.822,40.845,8.0,26.0,7.2,50.67,79.69,46.36,77.38,59.55,50.97,1
0.209,37.269,11.0,9.0,6.3,85.6,34.1,88.78,35.84,44.93,40.36,1
15.322,25.975,10.0,8.0,3.0,75.0,80.55,45.51,18.32,42.23,40.44,0
12.522,72.342,15.0,32.0,5.7,80.51,33.86,55.59,64.28,25.26,22.63,1
6.663,49.588,0.0,31.0,5.9,13.68,5.54,40.4,32.78,37.23,1.73,1
3.596,8.105,20.0,5.0,2.3,6.97,55.42,46.01,86.01,10.82,57.49,0
10.128,22.018,29.0,1.0,7.8,89.34,58.79,1.52,12.26,25.16,21.24,0
28.287,68.326,12.0,28.0,9.4,38.78,93.45,28.37,43.35,27.2,20.83,1
9.696,7.613,33.0,3.0,9.5,28.79,72.61,43.66,39.67,72.07,12.54,0
15.564,85.121,3.0,0.0,7.2,72.47,91.78,63.38,93.81,4.86,18.96,1
21.091,49.515,27.0,18.0,6.1,83.64,90.83,45.01,15.31,65.12,3.18,1
10.909,48.059,30.0,25.0,0.7,86.25,60.46,33.78,0.98,22.14,67.42,1
29.153,59.241,26.0,24.0,3.5,31.6,52.78,38.81,23.81,8.19,40.14,1
28.873,82.468,4.0,9.0,1.1,85.22,55.74,24.23,82.03,30.08,56.15,1
7.553,34.781,24.0,14.0,11.6,4.09,97.83,92.45,20.93,22.45,63.7,1
14.917,67.802,2.0,21.0,1.6,4.97,77.32,52.17,24.09,55.2,97.25,1
9.026,56.573,32.0,20.0,1.8,62.35,10.63,1.34,12.99,35.74,6.83,1
8.545,26.703,3.0,21.0,10.7,6.31,77.84,1.94,71.54,96.6,41.79,0
1.107,87.863,24.0,33.0,11.3,32.46,17.05,97.3,6.92,96.35,24.59,1
18.287,79.743,19.0,29.0,9.2,67.28,44.74,22.15,33.12,44.37,47.67,1
15.08,65.845,33.0,24.0,0.1,33.73,21.05,80.56,28.25,79.51,92.05,1
1.544,85.058,25.0,27.0,0.0,17.96,68.96,5.83,55.52,1.33,72.4,1
8.359,86.729,4.0,0.0,4.5,28.14,87.73,92.12,73.04,54.78,66.19,1
27.248,70.836,27.0,3.0,1.7,45.76,29.04,87.44,53.29,74.33,44.12,1
7.187,83.701,28.0,6.0,0.2,47.54,8.2,57.11,93.1,21.69,67.11,1
4.347,69.747,8.0,8.0,5.6,78.3,29.85,0.9,95.14,6.12,3.24,1
14.684,68.014,5.0,18.0,11.3,75.02,67.24,25.78,36.15,15.59,58.62,1
29.57,61.861,18.0,0.0,3.9,45.68,32.88,40.68,77.77,44.18,55.38,1
7.262,75.272,10.0,9.0,7.9,84.57,27.81,46.01,73.88,50.64,34.66,1
20.164,15.861,1.0,8.0,7.8,11.42,18.44,29.77,89.3,38.09,20.15,0
22.849,88.087,8.0,31.0,3.0,25.54,49.75,3.29,44.79,44.0,80.76,1
7.129,87.184,20.0,31.0,7.8,82.8,27.59,59.01,53.05,47.02,5.39,1
21.846,2.925,23.0,5.0,2.5,37.8,73.1,52.42,41.58,76.94,6.97,0
11.033,82.582,33.0,16.0,1.5,98.12,7.66,28.3,85.04,10.52,44.05,1
18.969,12.887,21.0,9.0,8.4,46.63,66.4,3.8,22.97,76.9,25.26,0
19.006,33.512,2.0,26.0,1.4,79.19,23.76,99.46,23.97,68.86,74.55,1
16.073,74.351,11.0,20.0,12.0,40.23,48.93,48.2,37.26,74.17,63.42,1
2.709,16.076,27.0,24.0,2.2,42.5,28.61,75.6,23.03,73.45,77.25,0
25.059,81.797,29.0,27.0,7.1,38.29,72.28,45.23,56.1,47.06,32.47,1
9.623,83.213,25.0,14.0,4.9,71.91,94.53,4.32,13.45,21.14,74.05,1
5.596,50.747,20.0,3.0,1.5,54.75,91.71,30.96,32.02,53.66,86.23,1
1.223,0.639,27.0,28.0,0.3,94.38,58.34,32.01,91.34,95.8,34.53,0
17.727,28.704,25.0,8.0,7.5,25.09,46.26,83.84,40.92,58.85,33.99,1
20.327,61.693,32.0,26.0,9.7,10.06,81.83,65.42,74.82,1.1,90.0,1
0.498,98.119,20.0,25.0,10.1,39.33,68.33,27.54,11.35,5.97,4.98,1
15.363,63.181,33.0,18.0,5.8,61.67,18.36,96.77,24.76,99.29,35.02,1
6.795,25.98,17.0,27.0,9.3,86.08,82.09,32.15,80.73,7.19,11.87,0
19.355,63.401,10.0,16.0,8.1,34.62,42.89,99.82,76.3,4.6,2.9,1
5.231,53.999,22.0,19.0,8.7,65.38,18.9,99.62,38.62,35.3,11.29,1
20.728,77.985,21.0,22.0,5.9,35.02,28.18,19.12,95.44,96.93,43.12,1
11.602,10.698,16.0,31.0,7.6,61.72,26.75,31.27,91.06,31.87,68.7,0
28.102,76.103,4.0,32.0,9.7,88.48,51.92,48.6,96.23,40.99,28.93,1
4.126,54.127,10.0,4.0,4.8,23.14,23.44,66.41,42.79,63.41,84.97,1
10.232,96.299,29.0,33.0,9.7,40.42,12.36,52.8,19.75,2.41,43.76,1
3.404,34.187,14.0,10.0,7.1,99.33,12.37,96.94,62.67,89.78,96.82,1
27.741,63.262,26.0,2.0,2.0,86.86,58.33,72.4,68.48,51.94,95.42,1
26.32,93.203,32.0,32.0,0.3,56.46,73.48,21.2,12.54,46.68,77.33,1
7.738,10.251,19.0,10.0,4.4,51.66,32.15,10.51,78.65,86.07,93.24,0
19.8,93.723,15.0,15.0,6.6,28.46,3.47,68.84,1.81,95.31,70.71,1
24.517,68.789,33.0,17.0,10.1,51.72,12.72,15.85,48.27,42.34,89.56,1
16.656,6.784,1.0,29.0,1.5,84.82,91.47,78.77,33.1,17.24,23.65,0
15.89,30.096,27.0,9.0,9.6,68.52,49.35,31.1,74.03,81.57,34.54,1
7.256,70.817,5.0,17.0,10.4,29.0,45.36,32.69,31.28,40.33,75.29,1
2.793,6.735,8.0,18.0,1.8,20.15,3.8,1.08,82.68,93.55,42.46,0
26.916,58.217,19.0,12.0,10.2,26.52,72.86,70.1,59.5,94.99,83.73,1
27.013,34.588,0.0,2.0,11.9,16.98,52.81,11.33,79.39,11.48,87.76,1
18.993,62.092,7.0,9.0,8.7,9.56,20.21,77.29,98.93,95.66,29.97,1
10.171,4.574,22.0,0.0,9.4,41.91,11.01,49.19,67.92,36.83,82.35,0
10.476,87.154,2.0,26.0,11.9,11.33,38.34,78.43,98.5,64.63,15.43,1
21.779,97.349,3.0,7.0,7.3,17.19,83.72,58.39,2.88,3.48,33.42,1
26.913,96.888,24.0,16.0,3.7,54.73,86.53,8.24,33.81,88.89,51.8,1
26.613,74.965,14.0,8.0,10.1,16.46,60.28,76.57,10.79,64.16,22.64,1
23.396,13.009,20.0,5.0,7.4,6.39,72.75,6.98,26.23,64.36,57.93,0
19.261,75.826,13.0,24.0,7.0,31.74,11.52,47.87,83.89,90.22,57.87,1
2.524,2.459,11.0,27.0,3.0,22.03,58.81,17.23,3.23,50.83,20.69,0
4.849,2.212,16.0,32.0,9.1,51.53,66.7,75.23,52.02,41.05,79.56,0
26.957,32.361,8.0,8.0,1.0,10.24,20.07,91.16,56.71,86.61,63.16,1
18.193,48.864,12.0,17.0,11.1,75.18,88.02,55.41,56.12,74.24,31.78,1
0.276,77.041,14.0,20.0,3.9,90.62,19.5,52.71,47.53,94.9,23.22,1
3.044,68.33,17.0,1.0,1.5,74.34,31.35,76.4,79.06,94.01,87.88,1
19.905,44.59,32.0,14.0,5.3,53.28,62.06,0.51,13.35,38.23,83.57,1
0.152,27.363,5.0,27.0,0.5,86.07,63.84,91.78,31.06,44.7,22.98,0
4.824,99.712,26.0,17.0,8.2,69.49,69.94,19.74,61.57,25.6,3.56,1
16.462,42.618,22.0,33.0,10.8,1.06,11.2,98.41,69.1,66.06,80.45,1
20.757,45.139,26.0,21.0,10.0,39.41,84.95,73.63,40.41,36.45,61.55,1
19.559,16.362,33.0,10.0,1.5,85.1,53.28,77.43,87.54,78.61,10.09,0
6.728,79.481,13.0,12.0,1.5,34.59,47.13,65.62,41.55,12.16,58.74,1
21.365,69.368,7.0,3.0,9.8,3.52,98.11,47.17,40.28,11.64,45.22,1
7.117,22.077,18.0,21.0,11.1,74.62,74.04,57.16,3.62,20.45,77.46,0
9.762,8.238,29.0,6.0,5.5,80.2,11.8,4.64,55.11,8.43,20.91,0
22.395,68.05,13.0,23.0,6.0,16.06,75.65,62.4,70.87,62.0,45.32,1
19.489,65.451,19.0,3.0,3.8,53.73,9.52,62.61,11.44,14.74,15.62,1
25.477,27.326,24.0,27.0,10.7,19.2,2.75,89.12,30.54,16.0,95.75,1
19.728,95.086,23.0,14.0,7.7,71.92,40.36,50.57,78.13,1.42,77.87,1
17.049,15.106,13.0,0.0,3.5,27.16,99.36,7.71,36.59,78.21,73.67,0
2.81,43.233,25.0,2.0,3.6,31.62,17.49,30.62,24.16,81.23,69.02,1
11.031,94.362,22.0,13.0,10.7,84.5,67.26,65.56,67.22,16.2,42.33,1
7.956,41.973,21.0,0.0,0.2,47.63,17.34,23.93,19.68,73.95,92.33,0
7.32,63.853,18.0,20.0,3.9,66.98,72.48,28.05,89.57,43.35,7.29,1
29.19,39.759,2.0,28.0,6.7,40.24,50.54,82.05,10.56,23.96,80.33,1
11.793,27.422,18.0,4.0,1.8,29.8,68.0,58.43,70.65,62.14,21.52,0
26.761,98.398,8.0,9.0,1.1,62.55,20.29,50.85,49.95,17.85,32.4,1
18.934,40.933,27.0,27.0,9.8,15.49,74.56,31.85,86.99,75.69,51.94,1
23.844,89.41,19.0,20.0,10.7,37.3,99.56,73.09,12.62,4.76,78.27,1
15.079,22.995,6.0,6.0,9.9,20.9,66.57,28.77,67.79,95.91,83.85,0
17.307,21.31,13.0,2.0,10.8,69.58,49.35,73.71,57.21,7.19,58.37,0
14.776,3.113,8.0,19.0,6.6,94.42,92.32,7.01,48.01,57.94,40.3,0
5.857,65.167,18.0,18.0,9.7,99.55,1.59,86.45,49.14,90.22,94.65,1
21.674,36.853,13.0,3.0,4.6,45.03,72.99,49.96,72.2,1.19,24.65,1
8.423,86.436,16.0,4.0,8.0,25.25,88.87,43.85,93.77,49.85,80.31,1
0.729,47.321,29.0,0.0,11.9,44.28,6.17,61.1,9.13,35.0,61.2,1
19.364,96.819,8.0,3.0,2.7,84.73,45.01,62.42,1.95,58.03,37.69,1
5.313,18.553,32.0,11.0,4.7,20.6,20.47,13.2,80.57,22.55,0.14,0
28.214,86.862,24.0,26.0,5.8,95.21,56.65,75.62,10.82,6.49,44.66,1
28.618,77.66,13.0,22.0,1.7,34.19,64.95,27.59,98.67,62.59,27.67,1
27.446,77.092,10.0,24.0,1.0,98.58,30.26,90.5,61.93,41.68,10.43,1
11.105,84.478,13.0,20.0,10.0,83.86,46.0,81.79,65.09,62.25,7.52,1
0.464,76.102,29.0,23.0,11.7,80.86,27.93,34.63,19.89,21.05,34.76,1
27.85,62.622,3.0,24.0,4.9,31.79,36.94,80.77,24.03,33.87,61.48,1
12.846,13.124,3.0,31.0,1.1,0.88,15.95,35.64,65.94,56.17,83.75,0
29.0,3.253,27.0,31.0,0.8,38.21,88.56,10.09,90.97,59.31,18.36,0
28.909,92.085,7.0,4.0,10.7,30.18,1.0,96.19,98.24,37.23,42.46,1
25.59,61.665,1.0,15.0,5.6,3.74,88.24,65.26,19.8,28.01,39.2,1
