tfidfScore,skillScore,matchedCount,missingCount,experienceYears,programmingScore,backendScore,frontendScore,databaseScore,cloudScore,devopsScore,label
8.833,79.654,21.0,32.0,3.8,50.54,57.17,45.61,13.41,27.37,51.34,1
11.553,48.152,15.0,20.0,5.7,40.3,33.17,39.78,5.64,17.47,80.96,1
25.534,11.731,28.0,8.0,3.8,63.46,72.31,32.47,86.83,32.54,55.36,0
9.508,12.519,29.0,5.0,5.9,62.12,50.78,98.14,29.47,19.94,84.67,0
5.085,68.557,11.0,21.0,10.3,12.07,49.91,13.47,0.18,63.38,51.86,1
16.704,43.031,10.0,4.0,7.1,97.7,11.01,31.48,22.38,56.91,60.38,1
28.085,20.052,20.0,22.0,8.3,18.69,38.95,48.55,34.04,38.26,43.74,1
20.881,49.159,20.0,16.0,4.4,44.53,24.11,47.8,99.1,32.58,82.31,1
17.102,6.421,4.0,11.0,8.9,48.81,1.57,47.14,52.35,23.76,92.38,0
2.915,58.197,19.0,22.0,8.0,81.31,36.01,17.58,20.47,53.55,63.91,1
18.45,26.899,2.0,15.0,1.4,9.92,8.98,14.49,33.48,91.89,82.08,0
29.702,79.756,32.0,2.0,6.9,42.86,25.68,25.48,33.03,68.57,5.9,1
4.203,31.036,8.0,29.0,3.1,62.85,9.25,91.45,1.97,74.44,90.61,0
15.55,45.522,8.0,21.0,9.6,21.52,10.09,11.31,13.52,83.44,18.89,1
26.321,1.162,3.0,8.0,5.1,62.75,19.9,75.74,69.52,35.16,25.65,0
22.223,7.245,16.0,28.0,11.9,92.37,99.98,75.75,12.03,6.29,5.33,0
20.91,39.249,33.0,22.0,1.1,99.75,0.22,80.98,23.07,62.26,96.54,1
21.075,47.994,23.0,12.0,9.4,3.25,63.87,88.66,35.07,18.87,85.2,1
10.785,60.002,31.0,31.0,8.1,23.56,14.12,26.3,75.77,56.9,91.32,1
8.808,29.166,0.0,22.0,9.2,31.03,92.06,22.46,58.24,73.95,84.72,1
24.281,69.498,7.0,16.0,3.7,39.91,9.36,46.55,68.9,78.36,47.95,1
24.303,86.012,22.0,20.0,5.9,24.23,95.51,26.51,56.7,30.18,92.41,1
26.012,77.985,11.0,1.0,9.6,20.35,61.09,73.43,68.36,51.24,96.95,1
27.397,3.962,11.0,5.0,2.8,95.46,0.13,63.59,0.28,62.1,50.26,0
15.34,48.051,14.0,17.0,2.7,91.85,89.4,87.5,93.09,81.95,17.56,1
15.045,10.493,18.0,29.0,6.6,4.7,52.17,8.27,11.09,76.14,65.86,0
23.949,24.205,25.0,21.0,6.3,33.88,26.27,91.51,40.62,98.8,97.54,1
19.499,98.666,28.0,32.0,3.4,40.51,76.73,29.33,77.1,0.81,87.21,1
21.059,14.25,21.0,29.0,3.6,23.9,92.67,49.07,43.52,43.75,86.18,0
23.874,49.889,20.0,16.0,3.3,62.89,48.37,43.86,94.68,25.6,93.38,1
26.7,61.816,19.0,31.0,9.3,64.04,31.56,76.03,46.76,11.99,89.4,1
10.14,70.246,28.0,13.0,7.8,85.05,78.89,42.03,87.49,91.15,77.63,1
11.267,55.965,3.0,9.0,10.0,74.09,68.18,94.36,81.08,99.8,71.83,1
2.819,0.977,6.0,33.0,11.7,54.26,88.88,90.25,98.1,18.06,26.48,0
17.348,32.646,27.0,8.0,5.7,65.36,69.25,87.22,92.65,3.84,62.13,1
1.078,51.771,27.0,27.0,0.8,27.4,24.35,7.13,89.81,27.51,52.15,1
13.968,8.787,3.0,10.0,0.6,59.31,93.17,85.43,73.16,83.49,86.19,0
16.279,35.063,21.0,13.0,3.5,48.92,10.48,78.16,36.7,29.39,49.17,1
8.596,3.32,11.0,18.0,11.2,13.33,26.79,10.35,10.61,5.69,12.77,0
17.725,7.858,2.0,14.0,6.3,24.25,52.02,10.74,68.86,5.25,0.5,0
0.915,39.692,21.0,27.0,3.3,29.17,56.57,10.12,97.87,42.74,67.79,1
1.12,13.272,1.0,23.0,4.8,92.43,1.53,1.13,72.66,93.18,54.99,0
24.678,56.754,23.0,7.0,7.2,23.04,78.06,54.86,92.87,28.59,33.1,1
10.806,68.946,33.0,8.0,7.8,28.92,36.16,97.34,80.43,42.72,16.9,1
3.812,80.059,26.0,32.0,1.8,36.94,40.64,43.87,16.31,10.19,46.67,1
15.667,20.015,0.0,32.0,11.7,66.37,80.94,54.08,24.92,49.36,10.03,0
23.1,16.748,7.0,18.0,6.5,11.82,37.93,96.8,34.19,69.65,33.61,0
6.475,10.457,22.0,2.0,1.6,95.39,4.72,25.52,16.83,27.12,37.92,0
18.687,63.643,5.0,9.0,10.7,86.56,17.64,85.85,58.17,29.67,46.56,1
2.56,70.648,21.0,0.0,0.9,57.72,95.59,54.64,97.55,84.2,46.66,1
1.55,3.159,24.0,28.0,10.9,67.4,7.04,56.95,76.15,1.04,25.7,0
15.941,93.621,17.0,33.0,12.0,1.67,35.49,34.32,42.34,63.65,85.02,1
16.219,5.197,16.0,12.0,8.4,33.89,50.32,56.16,0.45,39.39,35.55,0
19.123,54.13,11.0,0.0,9.2,79.57,49.33,7.31,31.33,29.84,22.96,1
21.783,70.906,5.0,33.0,4.0,7.75,0.4,76.46,52.68,65.76,17.58,1
29.276,87.097,25.0,28.0,11.3,28.23,50.12,28.47,32.43,83.47,32.26,1
15.489,71.409,26.0,12.0,6.4,58.53,38.38,88.76,11.1,55.84,6.76,1
9.689,80.173,7.0,28.0,8.8,25.64,97.21,36.79,44.28,3.11,3.29,1
23.856,33.945,18.0,23.0,11.1,93.4,15.92,14.28,25.33,46.14,60.51,1
8.125,81.483,0.0,25.0,11.7,13.11,35.42,69.59,90.92,46.28,61.91,1
13.169,8.011,28.0,16.0,10.0,79.74,41.95,16.46,10.18,54.38,52.96,0
2.354,89.482,13.0,6.0,3.6,50.79,39.07,75.37,4.92,67.1,76.23,1
0.761,54.759,19.0,12.0,11.6,75.03,66.58,96.81,0.53,1.93,3.92,1
28.879,81.73,12.0,4.0,7.5,31.07,21.55,77.96,32.81,50.2,93.6,1
25.079,45.232,7.0,25.0,11.2,51.45,22.11,2.24,66.04,58.83,9.51,1
20.879,64.358,19.0,2.0,8.1,85.68,72.92,59.99,73.04,34.34,67.4,1
12.269,52.64,32.0,6.0,3.7,46.69,50.03,69.54,45.33,66.84,13.34,1
5.199,73.159,25.0,0.0,4.4,35.97,41.52,82.55,68.43,22.82,87.99,1
4.693,8.163,20.0,16.0,6.6,53.62,16.92,5.6,35.99,31.74,51.07,0
7.507,6.035,8.0,24.0,9.5,71.74,18.75,48.01,66.78,96.28,8.23,0
16.477,24.71,23.0,2.0,3.8,44.36,1.06,53.54,4.06,34.81,61.67,0
21.438,15.954,16.0,14.0,7.0,93.89,9.14,16.91,39.08,34.65,0.91,0
19.806,87.178,23.0,28.0,4.1,29.49,55.68,32.24,79.08,59.57,77.6,1
8.398,21.921,20.0,31.0,9.8,47.55,89.19,44.02,80.3,97.1,65.06,0
28.646,97.587,12.0,25.0,5.6,75.69,28.72,83.32,71.61,98.31,21.26,1
22.137,33.69,10.0,15.0,0.9,68.91,32.77,92.94,20.42,57.97,37.48,1
16.631,18.212,18.0,24.0,2.0,86.36,11.56,62.84,24.72,0.11,0.78,0
18.352,78.97,10.0,27.0,0.7,99.68,38.86,39.49,99.61,90.07,69.37,1
12.588,65.871,12.0,8.0,6.0,42.69,3.72,25.4,10.34,57.02,32.27,1
7.432,49.82,0.0,0.0,1.3,11.12,91.76,98.21,18.07,36.6,57.16,1
10.679,55.536,18.0,28.0,1.4,3.04,67.31,98.3,13.0,82.92,95.67,1
22.735,71.92,11.0,21.0,11.3,72.69,99.07,92.5,32.77,39.98,29.95,1
0.432,22.845,7.0,15.0,10.5,87.4,88.28,78.57,21.02,3.4,99.02,0
3.482,99.633,7.0,6.0,5.4,22.07,47.3,32.58,49.77,82.11,63.27,1
1.38,97.479,11.0,13.0,11.8,15.84,51.97,81.7,47.6,54.59,24.21,1
1.222,65.033,32.0,28.0,0.0,6.22,19.06,40.88,90.15,33.81,43.68,1
25.664,19.954,25.0,18.0,7.4,82.27,46.2,32.68,3.47,25.09,74.05,1
21.11,68.023,27.0,18.0,7.4,31.14,90.3,74.49,31.99,59.38,44.65,1
14.225,7.22,4.0,1.0,5.5,40.17,5.09,7.97,59.67,20.8,6.85,0
2.935,3.065,7.0,14.0,4.8,50.28,86.36,4.86,60.48,32.39,16.86,0
14.748,25.768,24.0,2.0,5.5,83.95,34.09,44.8,48.01,63.65,79.13,1
14.204,46.262,26.0,10.0,5.0,65.08,89.95,44.56,81.57,88.15,64.84,1
5.196,86.827,22.0,29.0,8.8,61.51,94.09,89.56,6.27,53.29,56.98,1
13.016,72.717,29.0,17.0,1.6,17.57,67.09,12.62,81.55,75.91,16.76,1
11.955,74.271,22.0,1.0,2.4,51.32,66.44,12.33,49.48,76.31,83.78,1
18.476,42.549,19.0,31.0,2.2,71.54,45.28,14.75,13.38,66.44,96.07,1
19.053,34.593,17.0,7.0,3.1,97.33,83.55,2.97,88.57,24.58,4.09,1
1.359,37.104,17.0,21.0,6.3,20.14,96.16,7.17,64.92,86.68,7.8,1
11.238,98.765,1.0,5.0,1.3,0.95,77.51,65.99,16.35,43.63,88.47,1
18.776,4.011,3.0,11.0,10.4,7.53,62.19,43.16,3.36,4.42,81.56,0
15.094,86.703,29.0,14.0,3.6,37.59,60.68,76.36,14.11,24.46,61.79,1
25.695,57.868,32.0,27.0,2.0,82.05,84.95,99.26,60.88,76.55,94.5,1
19.761,43.862,17.0,17.0,8.1,0.71,54.12,65.9,17.93,6.91,64.64,1
4.888,72.526,18.0,1.0,0.5,45.67,80.39,5.05,22.58,14.74,21.6,1
2.117,48.667,27.0,12.0,7.4,32.92,50.89,10.46,2.51,69.42,72.86,1
19.273,87.342,19.0,14.0,8.4,5.25,6.24,88.1,72.29,89.26,64.57,1
0.795,90.07,32.0,19.0,2.6,45.02,38.39,52.75,81.04,63.37,98.57,1
17.573,42.172,11.0,28.0,0.5,25.47,44.44,82.48,79.68,22.23,21.39,1
28.207,27.683,14.0,28.0,4.4,35.19,14.16,85.66,12.76,5.34,59.79,1
17.264,59.235,1.0,2.0,1.2,70.56,10.25,92.77,90.33,61.51,78.02,1
11.645,91.236,28.0,18.0,1.4,52.16,53.55,94.98,67.23,4.74,33.9,1
19.299,21.066,9.0,2.0,3.1,12.46,8.51,55.48,89.75,61.27,37.97,0
13.748,62.297,1.0,13.0,3.5,96.14,30.29,34.1,44.72,22.56,88.79,1
16.369,63.156,10.0,3.0,6.4,63.59,74.46,96.19,43.7,90.47,40.42,1
28.244,73.311,12.0,10.0,8.1,76.59,96.44,54.74,78.45,47.51,62.47,1
11.583,13.157,9.0,30.0,7.1,7.92,71.79,6.43,9.33,22.39,88.92,0
28.836,71.582,13.0,31.0,1.8,4.71,99.26,64.28,52.09,85.31,20.98,1
27.161,90.903,17.0,26.0,2.1,1.94,69.83,58.77,83.64,25.4,98.19,1
5.874,17.968,8.0,29.0,10.5,18.88,29.38,89.58,83.02,30.66,70.2,0
2.081,23.754,27.0,1.0,6.7,41.44,67.21,65.32,95.61,83.43,49.61,0
3.023,97.14,2.0,8.0,10.4,93.58,70.22,34.91,69.83,30.88,43.09,1
0.547,18.098,19.0,27.0,4.5,45.71,37.17,96.62,20.78,41.02,95.44,0
2.833,85.439,5.0,30.0,7.4,29.03,1.77,80.16,2.03,34.77,20.57,1
20.49,49.228,26.0,33.0,6.3,56.19,70.32,63.04,47.94,11.64,31.17,1
2.136,24.723,1.0,14.0,3.8,11.19,2.17,29.29,51.37,3.89,30.78,0
9.569,87.075,28.0,24.0,5.6,60.95,63.12,37.35,24.03,72.45,28.9,1
25.346,44.531,2.0,7.0,6.0,56.84,16.36,67.0,12.47,64.51,46.85,1
0.698,51.482,15.0,8.0,2.4,79.2,56.56,7.2,58.62,28.24,98.92,1
24.434,35.923,29.0,31.0,3.8,98.67,50.39,25.67,76.43,29.56,88.88,1
8.456,59.295,1.0,16.0,9.5,25.09,1.35,71.39,99.32,94.5,32.79,1
3.545,16.352,16.0,18.0,11.0,50.97,36.29,48.0,75.83,98.77,42.29,0
20.902,39.108,11.0,28.0,4.3,90.89,60.11,40.24,79.36,47.34,66.95,1
18.868,96.941,0.0,6.0,3.7,78.52,84.86,15.15,61.65,80.25,1.72,1
26.324,25.813,14.0,27.0,2.3,48.74,88.86,44.18,98.59,73.67,82.02,1
22.052,65.674,25.0,8.0,8.1,94.54,48.38,77.07,64.0,29.73,87.98,1
24.104,32.519,20.0,27.0,3.9,5.72,72.84,26.4,86.03,5.86,85.72,1
8.461,77.347,30.0,5.0,11.9,93.1,31.65,0.54,94.58,14.26,37.51,1
5.323,13.087,24.0,28.0,3.9,5.05,34.22,66.85,92.99,83.83,46.2,0
22.518,96.982,22.0,16.0,4.7,54.73,19.45,97.26,38.14,73.12,1.24,1
24.205,45.379,23.0,15.0,7.2,89.04,56.19,60.68,7.87,66.43,39.94,1
29.715,23.605,27.0,22.0,9.6,26.27,31.46,11.99,17.19,13.06,46.04,1
12.379,7.35,20.0,30.0,5.6,47.22,8.44,32.07,5.92,63.99,90.7,0
11.161,16.976,17.0,2.0,5.1,32.43,68.5,86.76,10.54,77.22,89.4,0
23.292,51.977,8.0,20.0,11.9,95.21,70.78,23.26,18.47,86.06,96.61,1
10.224,33.7,29.0,25.0,0.1,82.36,36.0,60.77,34.11,1.32,88.51,0
27.923,82.888,33.0,21.0,10.7,70.9,7.67,40.27,54.35,68.45,0.82,1
25.752,43.089,31.0,11.0,1.8,58.76,42.63,20.78,71.17,1.91,64.15,1
12.87,24.871,2.0,12.0,9.4,82.06,44.23,81.34,21.09,70.69,6.82,1
22.526,61.714,2.0,10.0,7.4,39.23,66.87,74.28,67.25,63.56,27.26,1
22.636,70.678,27.0,15.0,4.1,44.76,31.54,66.16,70.43,14.83,57.83,1
3.094,16.704,14.0,7.0,10.5,73.0,68.26,23.63,55.86,76.61,70.06,0
27.077,16.762,22.0,1.0,0.2,35.78,87.15,9.79,90.36,6.83,65.46,0
15.158,3.667,10.0,29.0,2.7,6.39,23.75,57.62,11.1,82.64,4.91,0
24.794,73.64,31.0,29.0,6.8,7.43,97.89,55.37,17.71,26.19,10.36,1
9.601,66.38,32.0,11.0,4.2,11.54,38.64,18.84,42.87,68.89,12.86,1
26.866,47.463,23.0,9.0,7.3,86.97,26.73,5.62,12.67,92.37,9.14,1
11.676,84.417,33.0,10.0,0.3,47.22,42.15,8.07,56.63,33.98,17.82,1
0.325,80.567,27.0,14.0,1.4,71.29,9.44,99.28,39.84,50.29,68.85,1
27.161,58.535,6.0,15.0,1.5,39.29,12.57,78.36,28.46,46.31,83.08,1
2.739,86.827,3.0,16.0,2.3,25.87,41.44,92.2,17.0,15.76,40.88,1
9.579,20.584,0.0,25.0,5.5,34.72,76.24,19.51,33.53,59.03,69.28,0
28.502,11.192,0.0,1.0,9.0,79.42,90.03,96.06,60.8,74.3,20.0,0
28.518,26.975,19.0,11.0,10.9,62.52,66.48,14.27,57.58,91.69,97.33,1
17.203,5.709,18.0,25.0,10.0,93.76,10.52,50.91,16.36,85.08,35.0,0
18.955,53.117,28.0,22.0,2.4,67.97,67.2,82.97,12.49,51.0,84.59,1
13.453,93.661,9.0,17.0,5.3,57.02,63.54,34.98,2.67,71.9,94.54,1
8.796,3.934,17.0,31.0,2.4,61.02,80.58,42.48,1.24,80.08,86.47,0
9.86,12.211,27.0,2.0,3.2,94.24,82.52,12.82,87.98,49.35,6.71,0
20.176,45.22,30.0,2.0,6.0,78.82,86.82,12.29,4.51,11.54,65.03,1
22.571,93.388,26.0,29.0,0.8,2.4,41.41,61.96,73.12,43.79,12.01,1
23.747,31.616,10.0,0.0,2.6,53.41,69.79,67.55,87.2,84.25,0.57,1
23.689,50.723,4.0,29.0,11.2,68.83,26.83,77.73,9.81,59.66,5.18,1
2.736,4.157,7.0,31.0,5.6,74.87,99.93,55.67,43.63,72.45,91.61,0
14.833,14.834,33.0,27.0,5.3,21.31,17.53,64.58,96.23,18.53,90.85,0
1.727,98.663,11.0,20.0,0.2,86.72,1.01,1.35,83.41,96.43,22.58,1
16.486,96.512,0.0,12.0,3.0,95.58,14.88,16.22,48.97,40.41,54.71,1
13.246,0.494,30.0,26.0,10.4,23.67,77.59,98.49,76.26,65.36,95.5,0
26.631,95.181,3.0,6.0,2.0,88.26,44.68,7.6,83.34,1.89,49.67,1
10.527,63.912,4.0,21.0,5.0,9.7,44.75,67.88,34.8,12.73,39.36,1
3.512,86.792,29.0,9.0,0.2,5.57,95.5,17.61,89.22,78.2,48.32,1
4.29,45.474,23.0,14.0,5.7,12.92,91.96,71.67,47.05,96.8,79.02,1
22.845,51.56,2.0,14.0,0.3,5.77,31.12,70.6,52.78,32.01,47.73,1
18.547,48.885,10.0,3.0,9.8,84.5,20.91,23.42,99.97,3.72,78.33,1
3.034,66.686,3.0,31.0,9.9,5.91,84.85,26.96,84.33,36.09,43.17,1
2.523,13.965,25.0,22.0,9.5,27.17,90.6,65.48,36.18,1.75,25.2,0
21.029,2.997,26.0,5.0,3.4,10.38,54.16,39.01,1.03,19.24,32.65,0
2.183,30.793,26.0,23.0,10.0,29.54,62.94,19.45,62.62,75.25,7.78,0
24.656,70.468,5.0,19.0,6.5,9.06,25.69,73.17,70.39,93.71,49.74,1
21.187,20.185,14.0,19.0,4.5,66.8,80.08,15.41,65.08,8.74,14.81,0
2.44,67.343,29.0,11.0,7.5,13.33,63.21,85.56,96.79,55.79,81.15,1
2.545,96.991,22.0,32.0,0.1,85.18,50.35,51.47,86.3,25.39,42.06,1
29.599,9.39,5.0,27.0,1.7,81.72,6.01,10.57,44.88,13.91,76.5,0
11.228,67.26,3.0,7.0,8.9,1.37,91.59,69.41,6.29,21.9,95.45,1
11.119,44.375,17.0,0.0,2.9,89.57,61.55,51.92,47.61,57.78,84.95,1
24.384,86.814,8.0,21.0,7.2,2.89,19.27,29.81,68.92,6.51,95.15,1
28.417,17.715,28.0,5.0,4.6,23.96,60.64,42.25,60.77,43.42,56.79,1
29.58,69.263,12.0,20.0,10.3,3.24,67.75,29.83,53.81,13.52,16.53,1
22.601,83.812,16.0,31.0,11.4,33.58,52.58,26.3,46.88,27.27,93.54,1
11.288,94.461,31.0,14.0,10.6,51.39,71.81,16.36,29.38,19.08,86.85,1
2.505,68.325,21.0,4.0,3.2,79.66,58.15,36.28,27.73,88.3,86.44,1
23.314,49.717,3.0,5.0,2.3,33.8,94.78,25.1,50.02,70.8,69.33,1
16.752,61.785,4.0,24.0,5.7,70.55,5.37,68.34,16.06,86.85,62.49,1
12.727,86.89,12.0,28.0,0.1,18.75,10.62,68.39,34.07,38.35,1.47,1
27.191,57.061,33.0,6.0,0.3,75.06,17.37,50.18,32.4,31.34,74.81,1
3.336,3.039,21.0,12.0,6.6,23.6,69.02,77.79,58.71,38.06,9.15,0
14.779,93.095,22.0,17.0,6.2,14.35,64.56,84.13,6.67,1.85,25.98,1
0.341,68.953,2.0,1.0,11.9,18.54,89.21,57.98,82.97,72.47,55.15,1
14.06,67.651,33.0,7.0,2.4,18.21,73.29,61.89,56.24,34.98,45.17,1
1.689,21.568,31.0,10.0,3.1,51.29,50.84,28.29,67.08,31.33,1.58,0
3.565,65.889,20.0,32.0,1.4,84.48,99.18,89.49,70.31,59.81,82.4,1
3.526,39.386,20.0,26.0,11.0,7.96,26.61,2.42,29.15,43.62,87.88,1
19.476,65.123,10.0,19.0,9.3,70.7,83.32,34.86,47.04,98.08,68.19,1
22.381,10.659,3.0,11.0,9.9,65.43,42.68,72.18,95.62,35.63,54.11,0
17.501,65.785,0.0,30.0,10.8,87.25,64.87,8.01,76.67,61.39,96.07,1
28.865,99.941,27.0,26.0,6.3,24.41,72.73,18.32,96.96,31.17,12.0,1
11.246,4.821,23.0,31.0,5.4,45.01,63.38,58.93,74.63,99.06,73.79,0
8.571,97.717,12.0,9.0,4.0,92.58,14.05,56.0,17.56,44.51,12.84,1
26.058,40.691,33.0,2.0,7.1,66.0,44.3,73.89,6.45,63.41,38.18,1
6.708,87.075,10.0,26.0,5.5,38.88,56.14,81.26,57.77,12.67,58.55,1
28.897,78.239,16.0,30.0,5.4,13.14,84.9,12.86,35.78,73.3,73.71,1
0.365,56.702,17.0,14.0,11.2,26.25,44.36,1.84,27.55,26.92,0.37,1
29.096,73.845,21.0,15.0,11.8,58.12,91.87,68.96,80.72,44.86,26.06,1
1.295,87.852,23.0,12.0,9.6,71.82,44.04,30.14,36.7,88.31,53.82,1
26.734,40.414,18.0,10.0,9.1,12.44,54.88,62.6,31.7,97.06,53.29,1
15.831,32.703,20.0,20.0,8.2,59.96,79.63,15.05,85.0,42.46,63.76,1
29.789,66.759,7.0,10.0,2.0,55.04,58.31,46.9,84.63,83.48,30.39,1
2.214,80.785,27.0,29.0,0.7,51.4,96.02,50.44,35.64,5.33,54.05,1
16.616,76.229,4.0,21.0,8.3,69.01,66.03,58.51,83.25,84.76,18.98,1
29.079,79.781,16.0,30.0,8.7,83.74,52.27,51.32,85.08,62.95,18.69,1
15.693,43.558,18.0,13.0,0.6,32.3,2.36,49.57,42.39,48.87,57.66,1
18.882,81.783,26.0,23.0,11.1,88.9,41.37,33.27,6.65,89.0,68.55,1
20.872,12.021,33.0,31.0,1.1,16.06,29.92,7.12,0.16,84.53,12.04,0
13.636,54.449,10.0,31.0,3.4,17.3,74.81,8.95,52.33,29.69,12.28,1
18.827,0.576,11.0,14.0,8.1,26.68,20.83,43.38,34.41,79.15,56.53,0
17.529,32.459,20.0,2.0,2.0,11.95,20.52,35.58,99.71,9.95,27.01,1
27.035,36.646,10.0,15.0,0.7,23.03,18.95,51.61,77.24,82.28,39.24,1
1.363,39.617,27.0,4.0,4.0,10.64,12.56,30.48,76.13,67.55,40.07,1
8.429,69.547,4.0,20.0,9.2,82.18,31.1,68.79,95.52,8.79,17.86,1
28.512,38.856,16.0,9.0,5.0,13.9,88.59,86.4,88.77,68.31,0.13,1
26.708,44.869,19.0,18.0,7.8,74.73,77.49,29.89,31.82,58.05,85.32,1
13.67,23.754,11.0,24.0,7.0,4.79,73.53,19.3,16.6,59.46,71.5,0
18.604,37.325,5.0,3.0,0.3,94.85,79.73,11.62,74.59,29.09,69.05,1
8.321,22.727,16.0,28.0,11.9,71.12,26.94,61.63,37.83,26.65,54.65,0
5.644,7.32,18.0,18.0,0.5,0.68,88.74,44.39,47.32,76.25,70.1,0
13.911,60.345,25.0,1.0,11.6,76.39,13.73,18.8,63.04,25.68,93.57,1
10.601,66.821,31.0,9.0,6.6,51.41,33.63,65.31,90.79,44.63,66.57,1
17.51,61.949,5.0,24.0,11.6,77.94,58.67,14.85,41.91,69.48,26.51,1
2.332,46.349,10.0,19.0,1.4,52.25,10.29,55.43,78.33,7.96,57.06,1
29.232,37.979,32.0,18.0,5.9,64.1,73.01,52.71,26.83,59.45,44.23,1
29.586,86.333,23.0,22.0,2.0,78.63,38.72,73.42,69.8,58.94,55.64,1
20.945,51.908,22.0,23.0,0.6,40.51,78.44,5.51,0.16,68.42,51.76,1
16.083,47.918,14.0,10.0,7.4,0.27,49.29,88.79,87.15,36.99,85.88,1
